Categorie;Inhoud 1;Inhoud 2;Inhoud 3;
Werk en inkomen;Mijn kacht is gebaseer op de feite dat tussen ik en mijn klantmanager nooit compatible was. Ik voel me bij hem meer behandel als een soort baas , hoog reggie zeer weinig empathie. Zelf gaat het zover dat meneer heel persoonlijk kan worden tege me wanneer ik vragen stel die ik via (DWI) goedkuering had gekregen bleef meneer in verbazing hoe ik aan dat ben gekomen. Meneer voelde zich als een passeerde station en verliest zijn macht en werdt heel dominant tot het grens van zich de baas te noemen over mij. En op dit laatste had ik weer naar mijn eerste intuitie gaan volgen dat meneer gun mij niet maar meer mij in een vicieuze cirkel te houden met zijn spraken. Ik heb meneer al een ruime tijd door dat ik met hem gaat en zal nooit meer door de zelfde deur moet ingang. Iest dat mij heel veel aanraakt is wanneer ik me klein moet gaan voelen over de regime zoals meneer het ook vanmorge zij tege me. Dus bij deze wil graag een andere manager ziende dat het er geen dialoog maar verbale communicati;Ja mijn klantmanager in persoon;Ik wil een andere klantmanager ziende dat dit niet de goeie proces momenteel voormij is dat meneer vloekend op mij de schuld schuif en openbaar tege me voor andere mensen zijn promo van macho gedrag toont.;
14020;gemeente diensten zijn niet bereikbaar, en hebben blijkbaar geen telefoon en kunnen ook niet doorverbinden met een ambtenaar;dat weet ik niet degene die de brief heeft geschreven heeft blijkbaar geen telefoon of email zodat een gesprek onmogelijk is;ambtenaren die brieven schrijven een telefoon geven zodat een burger normaal contact kan hebben met een ambtenaar;
Openbare ruimte;Op 2 of 3 oktober is meneer zijn fiets en de fiets van zijn vriendin verwijderd door het stadsdeel en naar het fietsdepot gebracht.<br />De fietsen stonden in het fietsenrek tegenover Griseldestraat 19.<br />Meneer heeft geen waarschuwingssticker op zijn fiets gezien of een andere aankondiging dat de fietsen verwijderd zouden worden.;Fietsenknipteam sd West?;Meneer zou graag zien dat de kosten van de sloten en kosten fietsdepot vergoed zouden worden.<br />De fietsen zijn bij het verwijderen <wbr />/ vervoeren naar het fietsendepot beschadigd. Hier zal meneer ook kosten voor moeten maken en hoopt dat dit ook vergoed kan worden.<br />Meneer heeft veel ongemak gehad van het verwijderen van de fietsen.<br />Volgens medewerkers van het fietsdepot zouden er foto's gemaakt zijn van het verwijderen van de fietsen. Meneer zou deze graag zien.;
Overlast;geluidsoverlast van Amsterdam Dance Event in amsterdam Arena.  belster woont in Gein 3, in zuidoost. ;degene die de vergunning heeft afgegeven. ;onderzoeken waarom de geluidsoverlast  zo groot was. ;
Parkeren;Het gaat om het volgende ik ben een bewoner van Zuid .<br />De bewoners van de hygieastraat via Den het erg storend dat er auto worden geparkeerd in het tussendoor straatje om van het plein naar stadionweg te kunnen gaan .<br />nu is er een andere bedrijf gekomen en die denkt dat het zij straatje van hem is wat niet zo is wand naast zijpad is er een hek dat van hem is maar die laat hij dicht .<br />;Zover wij weten is er niemand van het stadsdeel betrokken dat  vinden wij heel storend. ;Dat ze ook zoon hek gaan plaatsen zodat er geen conflicten komen want die gaan komen .<br />wij  buurtbewoners vinden het prettig als de sfeer en veiligheid van de kinderen zo goedmogelijk worden  benut .gaar actief voor deze klacht  want we zijn er weleer beetje klaar mee hoe mensen doen als of het zij straatje van hun is ze moet gewoon bij het stadionweg parkeren.  <br />;
Openbare ruimte;Stadsdeel West geeft blad uit dat heet Amsterdam, het gaat specifiek om nummer 6. In het blad staat een artikel over het museum het ship, echter staat er geen adres van het museum bij vermeld. Mevrouw vindt dit erg vervelend omdat zij geen computer heeft of andere mogelijkheden. Mevrouw zou het in het vervolg erg fijn vinden als er een adres wordt vermeld bij dit soort artikelen. Dit is ook handig voor andere mensen die dan niet nog eens het adres op moeten zoeken. ;;;
Openbare ruimte;Met ingang van 20 oktober is het verboden om op ruim 1<wbr />/3de van de parkplaatsen op de Litasweg te parkeren. Ik heb hier 3 klachten over.<br />1 Wij hebben als buurt geen info ontvangen water gaat gebeuren.<br />2 er is geen info gegeven hoe lang dit ongemak gaat duren.<br />3 Hoewel er m.i.v 20 oktober een wegsleepregeling is voor dit deel van de parkeerplaatsen is er tot op heden, 21 oktober 13.00 uur nog steeds geen activiteit dat rechtvaardigde dat deze parkeerplekken niet gebruikt kunnen worden.<br /><br />Wat ik graag wil is:<br />1 goed geinformeerd worden<br />2 er wordt begonnen met werkzaamheden of het verbod tot parkeren wordt opgeheven en de borden worden pas geplaatst als er daadwerkelijk gewerkt gaat worden.<br /><br />Ik zie uw reactie graag tegemoet.;;Zie mijn schrijven in eerste blok.;
Parkeren;Mevrouw moest onterecht meer betalen dan verwacht was en wou toen hulp inschakelen door de assistentie knop te gebruiken op de betaalautomaat. Er werd bij beide betaalautomaten geen gehoor gegeven aan de assistentie knop. ;;Mevrouw wilt graag dat er antwoord wordt gegeven bij indrukken assistentie knop. ;
Werk en inkomen;Er moet deze maand NIET AUTOMATISCH Agis premie van mijn uitkering afgehaald worden!!! De Agis heeft mij al 1000den euro's gekost, 2012<wbr />/bezwaar b&w 201407392<wbr />/20420275, ik wacht op antwoord van de BURGEMEESTER...18 OKTOBER was de laatste dag... ;de gemeente a'dam. Dit moet zo duidelijk genoeg zijn...geen agis voor mij betalen!!!;direct doorgeven aan degene die mijn uitkering behandeld.;
Overlast; immense herrie Amsterdam Dance Event Arena, de Heineken Music Hall en de Ziggo Dome, alle drie meer dan 4 kilometer hemelsbreed van ons huis.;mij onbekende vergunning verlenende instantie;In het vervolg in vergunningen strenge regels stellen over volume, veroorzaakte trillingen, metingen verrichten en handhavend optreden bij overschrijden.;
Openbare ruimte;Ondanks diverse klachten de afgelopen 2 jaar over verkeer op dat zeer gevaarlijke situaties oplevert door over onze troittoir te rijden heb ik nooit wat vernomen van het stadsdeel. Onacceptabel! Wij blijven last houden van auto's over de stoepen waar onze kinderen spelen. Daarnaast is er veel last van sluipverkeer dat te hard rijd en willen wij graag snelheids beperkende maatregelen in een gebied dat al als 30 zone is aangeduid.;Heb hier meerdere malen over gebeld en online een formulier ingevuld die tot mijn stomme verbazing onlangs (1 jaar na invullen) als afgehandeld werd bestempeld terwijl er nooit door niemand contact met mij is opgenomen hierover.;OPLOSSEN! Wij, de bewoners zijn de lakse houding van het stadsdeel en de gemakzucht SPUUGZAT!;
Openbare ruimte;Betreft: Wandel promenade Veemkade.<br />Er is duidelijk met borden aangegeven dat de Veemkade een voetgangers gebied betreft.<br />Maar helaas raast dag in dag uit allerlei gemotoriseerd verkeer over deze kade en is van rustig onbezorgd wandelen geen sprake.<br />Waarom wordt er niet gehandhaafd? Moeten er eerst ongelukken gebeuren?<br />Waarom is er een onbeperkte doorgang van gemotoriseerd verkeer, van oost naar west en omgekeerd gecreeerd? Vooral veel geluidsoverlast van lawaaierige scooters en van de autobanden door resonantie op de betonblokken.   Deze kade is toch niet bedoeld voor doorgaand verkeer zoals vrachtauto's, taxi, personenwagen, motoren, scooters?;N.v.t.;Handhaven op gemotoriseerd verkeer en verkeer belemmerende objecten herplaatsen, zodat het weer een veilige wandelkade wordt.;
14020;De bereikbaarheid van gemeenteambtenaren binnen alle stadsdelen van de Gemeente Amsterdam zijn na invoering van een loket niet meer telefonisch te bereiken.   ;Frontoffice;Bereikbaarheid van de ambtenaren die subsidies behandelen verbeteren;
Openbare ruimte;Maaien bij nat weer levert schade op;Ik weet niet wie hier opdracht toegeeft;Voortaan niet maaien als het hard regent.;
Werk en inkomen;Ik ben al 8 maaanden bezig om een uitkering te krijgen, in deze periode en ook het jaar daarvoor heb ik geen inkomen, ik wil juist nu graag alles op orde krijgen. Mijn laatste aanvraag is ook afgewezen ,daarvoor ga ik in beroep, maar moet ik ondertussen ook weer een nieuwe procedure opstarten, ik heb hiervoor een geldig id nodig, maar omdat ik in ruim een anderhalf jaar slechts twee x een voor schot van 530 euro heb gehad heb ik daar geen geld voor. Wel heb ik een geldig rijbewijs en sta ik ook met een kenmerk nummer in de computer, ook zijn er bij het dwi meerder kopie van mijn paspoort aanwezig. Ondanks dat ik dat heb aan gegeven is er geen enkele medewerking waardoor ik steeds dieper in de problemen kom.;Ik heb gevraagd of mijn consulent mevr van den Berg, mij hier mee zou kunnen helpen, ik heb hier voor meerdere malen gebeld, uiteindelijk heb ik Maandag 20 oktober gehoord dat zei op vakantie was, en haar vervanger, ene Joyce stond totaal niet op te ;Ik zou graag willen dat ik eenmalig met mijn rijbewijs een nieuwe procedure kan opstarten , en dat er is mee gedacht wordt dat ik op deze manier steeds meer in de problemen kom, Ik ben iemand die graag weer aan het werk wil en alles op lossen maar op deze manie wordt dit me onmogelijk gemaakt;
Parkeren;Ik heb op zondag 19 okt 2014 mijn auto geparkeerd op de Marnixkade te hoogte van huis nummer 72.Ik kom niet uit Amsterdam en wist niet dat ik daar moest betalen,ook omdat ik wist dat er op zondag in bepaalde wijken niet hoeft te worden betaald.Bij het inrijden van de Marnixkade staat ook geen bord of verwijzing dat ik daar moest betalen.Ik ben Het dan ook niet eens met de aanslag onder nummer 00050232486.En verwacht ook kwijtschelding.;Ja Cition B.V.;Ik vraag om kwijtschelding van de Naheffingsaanslag.;
Openbare ruimte;bij de Rotonde Geldeplein zijn ze bezig met werkzaamheden, op borden staat tot 17<wbr />/10<wbr />/2014 maar tot op heden nog niet klaar en bewoners zijn daar niet van op de hoogte gehouden;;dat de werkzaamheden zo spoedig mogelijk klaar moeten zijn;
Parkeren;ontevreden, P&R parkeren bij Ijburg, 9.25 uur aangekomen en 15.05 vertrokken, en totaal 19,40 betaald (hadden gerekend op 1 euro parkeren ipv 14,40 !! Achteraf bij betaling wellicht niet goed gehandeld, maar absoluut klantvriendelijk, hier zullen meer mensen 'instinken' ( na betaling een medewerker van P&R gesproken, maar die kon niets meer ondernemen) zo kan P&R niet bedoeld zijn !!! Hebben 6,40 te veel betaald, maar voor ons gevoel 13,40. Als je op tijd bij het Rijksmuseum wil zijn vanuit Wilp in Gelderland, moet je al vroeg vertrekken, maar ook parkeren.;Medewerker P&R na betaling gesproken, maar die kon hier niets meer aan veranderen;Vergoeding van onze kosten, en vooral een veel klantvriendelijker systeem of nog duidelijker uitleg, als er een rij is gaat je al snel handelen en is het risico van veel te veel betalen er groot (hebben al vernomen dat het vaak gebeurd en wij zeker geen uitzondering zijn. Als we na Amsterdam komen en parkeren zoals ook de gemeente graag wil, is het toch niet de bedoeling dat je met een kater terug naar huis rijd.;
Werk en inkomen;I am sending this protest once again to the DWI and the members of the Gemeente as my request for my business loan. However, I am quite convinced that most of my requests are not reaching the right people, I therefore, going to publish all the communications that I have had with my manager and those of the responses I received from some his collages into my case on all social medias and twitter them to some of the Dutch print medias, while I am taking up my lawyer to help me with this case.<br /><br />Because, I will never get the right justice when my documents do not get the attention of the public and the right people concern in this city. This is a mean of trying to spoil my business and my life in the country. I am also receiving calls now at night asking me if I want protection to my house of which I never requested.<br /><br />I received this call just the time and date I receive the last letter dated on October 16 and sent October 17, but received by me on October 21, 2014. ;Those involved names and signatures are on the attachment of the letters and responses I have received from them.  I do not know anything anymore about true human rights now. I am completely getting to be confused.;I have asked the gemeente on many occasions to please give me a manager who understands other people rights and can work with them to make things happen. If a businessman wants to have a partner in the Netherlands and experiencing such a thing with just one man he<wbr />/she think about sending a business plan that may worth a million. I am just requesting 15000 euros and I don't get just even for my living.Why don't someone from the gemeete administration act on behalf of other citizens who want to be free those who hate them?;
Werk en inkomen;Mijn WWB aanvraag loopt al tegen 2 maanden ? ook geen duidelijkheid over terugwerkende kracht verleden.<br />Na handhaving wordt bepaald maar zit al weken op de bank zonder handhaving bezoek maar krijg geen geld?<br />Mijn aanvraag loopt vanaf 16 sep en wordt vanaf 3 Okt behandeld dus afwijzing WW niet in datum meegenomen.<br />;Ik zou niet weten wie dat het het is een warboel.;Mijn zaak en aanvraag naar behoren behandeld,en kijkt of ik recht heb op terugwerkende kracht,en waarom ik geen voorschot krijg en mijn schulden oplopen.<br />En waarom ik wacht op een handhaving die niet komt en nu ik geen tijd meer heb om op ze te wachten in mijn kamer is dat dan mijn fout op betrekking op mijn BBW aanvraag.;
Basisinformatie;Dienst Basis informatie, Taakgroep Correctie<br />Kenmerk 124602: foutieve uitschrijving uit  Dienst basis informatie wegens 'voornemen emigratie'. Op basis van foutieve informatie van de SVB is mijn tijdelijk verblijf in de VS aangemerkt als emigratie. Ik ben hier slechts voor studie voor een periode van 6 1<wbr />/2 maand ( 30-4 t<wbr />/m 11<wbr />/11-2014, dus ruim binnen de periode van 8 maanden, die door Amsterdam gesteld wordt als criterium voor emigratie. Ondanks herhaalde verzoeken mijnerzijds + uitleg van mijn situatie weigert de SVB zijn beoordeling te herzien. Ze hebben mij, ten onrechte, opgegeven als geemigreerd, waardoor ik nu uitgeschreven dreig uit Amsterdam. Ik verzoek u om de uitschrijving ongedaan te maken, omdat dit ernstige consequenties voor mij zal hebben: door deze fout ben ik de laatste 3 wk van mijn verblijf niet meer verzekerd voor ziektekosten. Ik stuur u als bewijs scans van mijn ticket 11-11 Albuquerque- Amsterdam en mijn brief aan de SVB met mijn 3e verzoek tot herziening.<br />;behandeld door R. Kandai;Uitschrijving uit Dienst Basis informatie ongedaan maken;
Openbare ruimte;Restafval naast de containers.<br />Container nr RE 6241;nee;Vuil op laten halen door handhaving. Kruizing Ben Meerendonckstraat Johan Huijsenstraat Amsterdam IJBURG.;
Werk en inkomen;Ik heb in 2013 telefonisch om een +voorziening voor ouderen aangevraagt. Het antwoord was: Als u 65 jaar of ouder bent dan komt u niet in aanmerking voor een uitkering voor armoede bestrijding. Mijn verzoek werd dus afgewezen. En aanvragen zou geen zin hebben. Wel kreeg ik al heel snel een aanvraag formulier voor LDT, waar ik vanwege mijn leeftijd niet voor in aanmerking kom.Nu blijkt dat er wel degelijk een voorziening is voor 65+. Vanwege onterechte telefonische afwijzing heb ik in 2013 deze 65+ voorziening niet ontvangen. Hierover dien ik als nog een klacht in en verzoek ik u om mij alsnog de 65+ uitkering toe te kennen. Dit om dat ik door de tel medewerker op het verkeerde been ben gebracht en dus met een kluitje in het riet ben gestuurt. Daarover dus mijn klacht.;Ik weet niet meer wie mij tel te woord heeft gestaan en mij het verkeerde formulier heeft toe gezonden.;;
